artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Hawksley Workman,Autumn's Here,0.506,0.534,7,-6.453,1,0.0278,0.0466,0,0.347,0.215,76.959,audio_features,4ie9OampAZGxVs1bi8CwxF,spotify:track:4ie9OampAZGxVs1bi8CwxF,https://api.spotify.com/v1/tracks/4ie9OampAZGxVs1bi8CwxF,https://api.spotify.com/v1/audio-analysis/4ie9OampAZGxVs1bi8CwxF,299733,4,0
Radiohead,No Surprises,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,audio_features,1bSpwPhAxZwlR2enJJsv7U,spotify:track:1bSpwPhAxZwlR2enJJsv7U,https://api.spotify.com/v1/tracks/1bSpwPhAxZwlR2enJJsv7U,https://api.spotify.com/v1/audio-analysis/1bSpwPhAxZwlR2enJJsv7U,229120,4,0
Rascal Flatts,What Hurts the Most,0.527,0.671,5,-5.032,0,0.0283,0.00842,0,0.268,0.331,136.03,audio_features,4bVuIlGQBMWS7vIhcx8Ae4,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4,https://api.spotify.com/v1/tracks/4bVuIlGQBMWS7vIhcx8Ae4,https://api.spotify.com/v1/audio-analysis/4bVuIlGQBMWS7vIhcx8Ae4,214107,4,0
Something Corporate,Konstantine,0.257,0.493,10,-10.624,1,0.0426,0.175,6.02e-06,0.0854,0.116,79.336,audio_features,75CsNDa4ikKu3TyBHMELoM,spotify:track:75CsNDa4ikKu3TyBHMELoM,https://api.spotify.com/v1/tracks/75CsNDa4ikKu3TyBHMELoM,https://api.spotify.com/v1/audio-analysis/75CsNDa4ikKu3TyBHMELoM,576747,4,0
Don Henley,End of the Innocence,0.623,0.425,8,-13.045,1,0.0291,0.306,8.65e-05,0.108,0.392,116.593,audio_features,3NWcFiL6oCEagrFiTdDr1m,spotify:track:3NWcFiL6oCEagrFiTdDr1m,https://api.spotify.com/v1/tracks/3NWcFiL6oCEagrFiTdDr1m,https://api.spotify.com/v1/audio-analysis/3NWcFiL6oCEagrFiTdDr1m,315307,4,0
Bananarama,Cruel Summer,0.697,0.828,1,-8.796,0,0.0266,0.343,0.0154,0.271,0.926,108.367,audio_features,0wnJdLDUi9fkDl5nxhDlqO,spotify:track:0wnJdLDUi9fkDl5nxhDlqO,https://api.spotify.com/v1/tracks/0wnJdLDUi9fkDl5nxhDlqO,https://api.spotify.com/v1/audio-analysis/0wnJdLDUi9fkDl5nxhDlqO,215400,4,0
Kellie Pickler,I Wonder,0.493,0.37,1,-6.537,1,0.0299,0.731,0,0.113,0.23,123.134,audio_features,4TWDBIZt5tJwEqyNYPCY4V,spotify:track:4TWDBIZt5tJwEqyNYPCY4V,https://api.spotify.com/v1/tracks/4TWDBIZt5tJwEqyNYPCY4V,https://api.spotify.com/v1/audio-analysis/4TWDBIZt5tJwEqyNYPCY4V,237960,4,0
From Oklahoma! ,Oh! What A Beautiful Morning!,0.204,0.32,4,-13.228,1,0.0406,0.917,0.000792,0.132,0.134,162.415,audio_features,42YD4zak7g1OtLCDfXSFp3,spotify:track:42YD4zak7g1OtLCDfXSFp3,https://api.spotify.com/v1/tracks/42YD4zak7g1OtLCDfXSFp3,https://api.spotify.com/v1/audio-analysis/42YD4zak7g1OtLCDfXSFp3,173573,3,1
Roberta Flack,Killing Me Softly,0.477,0.381,5,-10.237,0,0.0342,0.727,0,0.0615,0.329,121.568,audio_features,3gsCAGsWr6pUm1Vy7CPPob,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/tracks/3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/audio-analysis/3gsCAGsWr6pUm1Vy7CPPob,286920,4,0
Percy Sledge,When A Man Loves A Woman,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.206,97.398,audio_features,51FpzuGkRYXFgsE2zXt9av,spotify:track:51FpzuGkRYXFgsE2zXt9av,https://api.spotify.com/v1/tracks/51FpzuGkRYXFgsE2zXt9av,https://api.spotify.com/v1/audio-analysis/51FpzuGkRYXFgsE2zXt9av,173867,3,0
